Infront-name;Yahoo finance name
VWS;VWS.CO
DANSKE;DANSKE.CO
JDAN;JDAN.CO
SPKSJF;SPKSJF.CO
TCM;TCM.CO
TIV;TIV.CO
TRIFOR;TRIFOR.CO
UIE;UIE.CO
VJBA;VJBA.CO
NOBLE;NOBLE.CO
NOVO-B;NOVO-B.CO
NTG;NTG.CO
NZYM-B;NZYM-B.CO
ORSTED;ORSTED.CO
OSSR;OSSR.CO
PNDORA;PNDORA.CO
RBREW;RBREW.CO
RILBA;RILBA.CO
ROCK-A;ROCK-A.CO
ROCK-B;ROCK-B.CO
SCHO;SCHO.CO
SIM;SIM.CO
SPNO;SPNO.CO
STG;STG.CO
SYDB;SYDB.CO
TOP;TOP.CO
TRMD-A;TRMD-A.CO
TRYG;TRYG.CO
ZEAL;ZEAL.CO
AOJ-B;AOJ-B.CO
AQP;AQP.CO
BNORDIK-CSE;BNORDIK-CSE.CO
BO;BO.CO
CBRAIN;CBRAIN.CO
COLUM;COLUM.CO
DAB;DAB.CO
FLUG-B;FLUG-B.CO
GABR;GABR.CO
GREENH;GREENH.CO
GUBRA;GUBRA.CO
GYLD-A;GYLD-A.CO
GYLD-B;GYLD-B.CO
HART;HART.CO
HH;HH.CO
HUSCO;HUSCO.CO
LASP;LASP.CO
MATAS;MATAS.CO
MTHH;MTHH.CO
NLFSK;NLFSK.CO
NNIT;NNIT.CO
NORTHM;NORTHM.CO
PAAL-B;PAAL-B.CO
RTX;RTX.CO
SAS-DKK;SAS-DKK.CO
SOLAR-B;SOLAR-B.CO
SPG;SPG.CO
ALK-B;ALK-B.CO
ALMB;ALMB.CO
AMBU-B;AMBU-B.CO
BAVA;BAVA.CO
BOOZT-DKK;BOOZT-DKK.CO
CARL-A;CARL-A.CO
CARL-B;CARL-B.CO
CHEMM;CHEMM.CO
CHR;CHR.CO
COLO-B;COLO-B.CO
DEMANT;DEMANT.CO
DFDS;DFDS.CO
DNORD;DNORD.CO
DSV;DSV.CO
FLS;FLS.CO
GMAB;GMAB.CO
GN;GN.CO
HLUN-A;HLUN-A.CO
HLUN-B;HLUN-B.CO
ISS;ISS.CO
JYSK;JYSK.CO
KBHL;KBHL.CO
MAERSK-A;MAERSK-A.CO
MAERSK-B;MAERSK-B.CO
NDA-DK;NDA-DK.CO
NETC;NETC.CO
NKT;NKT.CO
